tenure,MonthlyCharges,TotalCharges,SeniorCitizen,num_services,charges_per_service,has_family,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,risk_score,intervention
8,100.15,908.55,1,3,25.0375,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,0.9560825,Contract Upgrade
21,99.85,1992.55,0,3,24.9625,0,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,0.8449345,Contract Upgrade
21,99.15,1956.4,0,4,19.830000000000002,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,0.76159585,Contract Upgrade
17,45.05,770.6,1,0,45.05,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.69701916,Contract Upgrade
11,84.8,906.85,1,1,42.4,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,0.8803207,Contract Upgrade
15,91.0,1430.05,0,2,30.333333333333332,1,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0.8565173,Contract Upgrade
2,74.85,156.4,1,0,74.85,0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.9036157,Contract Upgrade
21,28.5,629.35,0,1,14.25,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.54424447,Contract Upgrade
22,89.25,1907.85,0,2,29.75,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.61636066,Contract Upgrade
13,102.25,1359.0,0,3,25.5625,1,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,0.8214495,Contract Upgrade
3,89.45,240.45,0,2,29.816666666666666,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0.7985072,Contract Upgrade
54,90.05,4931.8,1,2,30.016666666666666,0,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0.5540695,Contract Upgrade
1,24.2,24.2,0,0,24.2,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.6251092,Contract Upgrade
2,90.4,168.2,0,2,30.133333333333336,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0.923032,Contract Upgrade
2,44.95,85.15,1,0,44.95,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.68054235,Contract Upgrade
1,74.5,74.5,0,0,74.5,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.9682274,Contract Upgrade
2,91.45,171.45,0,2,30.483333333333334,1,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,0.9555698,Contract Upgrade
33,70.4,2406.1,0,0,70.4,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.77598697,Contract Upgrade
10,110.1,1043.3,0,6,15.728571428571428,0,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0.6942753,Contract Upgrade
8,75.25,576.7,0,0,75.25,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.7252605,Contract Upgrade
1,102.45,102.45,0,4,20.490000000000002,1,False,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0.9262974,Contract Upgrade
5,51.0,286.8,0,1,25.5,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,0.6947583,Contract Upgrade
9,77.65,714.15,0,1,38.825,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.7436145,Contract Upgrade
4,50.7,151.3,0,1,25.35,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.60625565,Contract Upgrade
1,54.9,54.9,0,2,18.3,0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.76093996,Contract Upgrade
1,80.05,80.05,0,1,40.025,1,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,0.9473568,Contract Upgrade
13,74.4,896.75,0,0,74.4,1,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0.7393568,Contract Upgrade
1,89.55,89.55,0,2,29.849999999999998,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0.9463774,Contract Upgrade
6,73.85,401.3,0,0,73.85,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.89846575,Contract Upgrade
1,25.05,25.05,1,0,25.05,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.83987075,Contract Upgrade
21,102.8,2110.15,0,5,17.133333333333333,1,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0.64747536,Contract Upgrade
20,85.8,1727.5,1,1,42.9,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,0.6816722,Contract Upgrade
23,74.95,1710.45,0,0,74.95,0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.7025771,Contract Upgrade
1,45.95,45.95,0,0,45.95,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.77812505,Contract Upgrade
5,69.95,320.4,0,0,69.95,1,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.69419783,Contract Upgrade
1,25.2,25.2,1,0,25.2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.9081494,Contract Upgrade
14,104.85,1531.4,1,4,20.97,0,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0.8683583,Contract Upgrade
10,70.0,740.0,0,0,70.0,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.73278594,Contract Upgrade
13,78.3,1033.95,0,1,39.15,1,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0.7445116,Contract Upgrade
3,90.7,237.65,0,2,30.233333333333334,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.747234,Contract Upgrade
2,24.9,49.7,0,0,24.9,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0.5178142,Contract Upgrade
1,24.8,24.8,0,0,24.8,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.8982855,Contract Upgrade
3,43.3,123.65,0,0,43.3,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.7096217,Contract Upgrade
13,80.0,1029.35,0,1,40.0,0,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0.6098766,Contract Upgrade
1,76.35,76.35,0,1,38.175,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.935631,Contract Upgrade
1,70.6,70.6,0,0,70.6,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.89999926,Contract Upgrade
25,89.15,2257.75,0,3,22.2875,1,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0.5701474,Contract Upgrade
26,91.25,2351.8,1,2,30.416666666666668,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0.77366376,Contract Upgrade
24,40.65,933.3,1,2,13.549999999999999,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,0.5075126,Contract Upgrade
42,55.65,2421.75,1,1,27.825,0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.5501329,Contract Upgrade
69,99.45,7007.6,0,3,24.8625,1,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,0.8069806,Contract Upgrade
3,75.05,202.9,1,1,37.525,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.6371307,Contract Upgrade
55,96.75,5238.9,0,3,24.1875,1,True,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0.5871123,Contract Upgrade
22,69.7,1490.4,0,0,69.7,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.6072137,Contract Upgrade
18,87.9,1500.5,0,3,21.975,1,True,True,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,0.518408,Contract Upgrade
10,78.15,765.15,0,1,39.075,1,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0.64914155,Contract Upgrade
16,55.3,875.35,0,1,27.65,0,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5104,Contract Upgrade
3,77.0,237.75,1,0,77.0,0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.9486584,Contract Upgrade
5,78.75,426.35,0,1,39.375,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.7169839,Contract Upgrade
1,29.95,29.95,0,1,14.975,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.66032195,Contract Upgrade
1,45.4,45.4,0,0,45.4,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.7875423,Contract Upgrade
36,85.25,3132.75,1,1,42.625,1,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,0.75742155,Contract Upgrade
20,69.8,1540.35,0,0,69.8,1,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.6272767,Contract Upgrade
1,79.5,79.5,0,1,39.75,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0.9733575,Contract Upgrade
1,19.4,19.4,0,0,19.4,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0.5092925,Contract Upgrade
20,96.55,1901.65,0,4,19.31,1,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,0.7828718,Contract Upgrade
11,70.2,760.05,0,0,70.2,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5934191,Contract Upgrade
5,69.95,330.15,0,0,69.95,1,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.71802306,Contract Upgrade
6,74.9,469.8,0,0,74.9,0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.8723125,Contract Upgrade
4,50.05,179.35,0,1,25.025,1,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.5070055,Contract Upgrade
